iter	Passed	Remaining
0	2	2910
1	4	2297
2	8	2765
3	10	2551
4	12	2391
5	13	2234
6	15	2138
7	17	2109
8	18	2062
9	20	2008
10	21	1953
11	23	1960
12	25	1922
13	26	1880
14	28	1848
15	29	1815
16	31	1817
17	33	1831
18	35	1820
19	37	1823
20	38	1808
21	40	1790
22	41	1773
23	43	1758
24	45	1756
25	47	1774
26	49	1770
27	51	1800
28	53	1791
29	55	1779
30	56	1766
31	58	1771
32	64	1887
33	66	1898
34	68	1881
35	70	1887
36	72	1880
37	73	1866
38	75	1861
39	77	1856
40	78	1842
41	80	1829
42	81	1815
43	82	1800
44	84	1787
45	85	1779
46	87	1767
47	88	1757
48	90	1753
49	91	1747
50	93	1743
51	95	1742
52	97	1734
53	98	1726
54	100	1718
55	101	1716
56	103	1717
57	106	1727
58	108	1729
59	110	1725
60	111	1722
61	115	1743
62	116	1739
63	121	1770
64	123	1774
65	125	1773
66	126	1766
67	128	1762
68	130	1760
69	132	1754
70	134	1764
71	137	1766
72	138	1761
73	140	1763
74	143	1768
75	145	1768
76	147	1765
77	149	1764
78	151	1761
79	152	1757
80	154	1756
81	156	1754
82	157	1739
83	159	1735
84	161	1738
85	164	1746
86	165	1739
87	167	1733
88	168	1726
89	170	1726
90	172	1725
91	175	1730
92	177	1734
93	180	1740
94	182	1738
95	184	1733
96	185	1728
97	187	1722
98	189	1721
99	191	1719
100	192	1717
101	194	1710
102	195	1705
103	197	1701
104	198	1695
105	200	1689
106	201	1683
107	203	1679
108	205	1676
109	207	1676
110	208	1671
111	210	1666
112	211	1663
113	213	1660
114	215	1658
115	216	1653
116	218	1652
117	220	1651
118	222	1645
119	224	1643
120	225	1641
121	227	1634
122	228	1630
123	230	1625
124	233	1636
125	236	1637
126	237	1631
127	238	1626
128	240	1622
129	242	1621
130	243	1617
131	245	1612
132	247	1610
133	248	1607
134	250	1605
135	251	1600
136	253	1597
137	255	1593
138	256	1589
139	258	1587
140	260	1584
141	261	1579
142	263	1580
143	265	1576
144	267	1575
145	269	1573
146	270	1572
147	272	1569
148	274	1565
149	277	1571
150	278	1567
151	280	1563
152	281	1559
153	283	1555
154	284	1552
155	286	1549
156	287	1545
157	289	1542
158	291	1540
159	293	1538
160	294	1532
161	295	1529
162	298	1530
163	299	1527
164	301	1525
165	303	1523
166	307	1535
167	309	1532
168	311	1529
169	312	1526
170	314	1523
171	315	1520
172	317	1517
173	319	1515
174	320	1512
175	322	1510
176	326	1517
177	328	1516
178	329	1513
179	331	1509
180	333	1507
181	334	1505
182	336	1503
183	338	1499
184	339	1495
185	340	1492
186	342	1488
187	343	1485
188	345	1482
189	346	1479
190	348	1477
191	350	1475
192	352	1471
193	353	1467
194	354	1463
195	356	1460
196	357	1457
197	358	1453
198	360	1449
199	361	1445
200	363	1444
201	364	1441
202	366	1437
203	367	1434
204	368	1430
205	370	1426
206	371	1423
207	373	1420
208	374	1416
209	375	1413
210	377	1410
211	378	1406
212	380	1405
213	381	1401
214	382	1397
215	384	1394
216	385	1391
217	386	1387
218	388	1384
219	389	1380
220	391	1378
221	392	1376
222	394	1373
223	395	1370
224	397	1367
225	398	1364
226	399	1361
227	401	1357
228	402	1354
229	403	1351
230	405	1348
231	406	1346
232	408	1344
233	409	1341
234	411	1339
235	412	1336
236	414	1333
237	415	1330
238	416	1326
239	418	1324
240	419	1321
241	421	1320
242	423	1320
243	425	1317
244	426	1315
245	428	1312
246	429	1309
247	430	1306
248	432	1303
249	433	1300
250	434	1297
251	437	1297
252	438	1295
253	440	1292
254	441	1290
255	442	1287
256	444	1284
257	445	1281
258	446	1278
259	448	1275
260	449	1272
261	451	1271
262	452	1268
263	454	1266
264	455	1263
265	456	1260
266	458	1258
267	459	1255
268	461	1252
269	462	1250
270	463	1247
271	465	1245
272	467	1243
273	468	1241
274	469	1238
275	471	1235
276	472	1233
277	473	1230
278	475	1228
279	476	1225
280	478	1225
281	480	1223
282	482	1221
283	483	1218
284	484	1216
285	486	1214
286	487	1211
287	489	1209
288	490	1207
289	492	1205
290	494	1203
291	495	1202
292	497	1200
293	498	1198
294	500	1196
295	502	1194
296	503	1192
297	505	1190
298	506	1187
299	508	1187
300	510	1185
301	512	1183
302	513	1181
303	515	1179
304	516	1177
305	517	1174
306	519	1173
307	521	1170
308	523	1170
309	524	1167
310	526	1165
311	527	1162
312	528	1160
313	530	1158
314	531	1156
315	533	1154
316	534	1152
317	536	1149
318	538	1149
319	540	1147
320	541	1145
321	543	1143
322	544	1140
323	545	1138
324	547	1136
325	548	1134
326	550	1132
327	551	1130
328	553	1128
329	554	1126
330	556	1124
331	557	1122
332	559	1119
333	560	1117
334	561	1115
335	563	1112
336	564	1111
337	566	1109
338	568	1108
339	569	1106
340	571	1103
341	572	1101
342	574	1099
343	575	1097
344	576	1095
345	578	1093
346	579	1090
347	581	1088
348	583	1087
349	584	1085
350	585	1083
351	587	1081
352	589	1079
353	590	1077
354	591	1075
355	593	1073
356	595	1071
357	596	1070
358	598	1068
359	600	1066
360	602	1065
361	603	1063
362	604	1061
363	606	1059
364	607	1057
365	609	1055
366	611	1054
367	612	1052
368	614	1050
369	616	1049
370	617	1047
371	619	1045
372	620	1043
373	622	1041
374	623	1039
375	624	1036
376	626	1035
377	628	1033
378	629	1031
379	631	1029
380	632	1027
381	633	1025
382	635	1023
383	636	1021
384	638	1019
385	640	1018
386	641	1016
387	642	1014
388	644	1012
389	646	1011
390	649	1011
391	650	1009
392	652	1007
393	654	1005
394	655	1004
395	658	1003
396	659	1001
397	661	999
398	662	997
399	663	995
400	665	993
401	666	991
402	668	990
403	670	988
404	671	986
405	673	984
406	674	983
407	676	980
408	677	978
409	678	976
410	680	974
411	681	973
412	683	970
413	685	970
414	687	968
415	688	966
416	690	964
417	691	962
418	692	960
419	694	958
420	695	956
421	697	954
422	698	953
423	700	951
424	701	949
425	702	947
426	704	944
427	705	942
428	707	941
429	708	938
430	709	936
431	711	935
432	712	933
433	714	932
434	716	930
435	717	928
436	718	926
437	720	924
438	721	922
439	722	920
440	724	918
441	725	916
442	727	914
443	728	912
444	730	910
445	731	908
446	733	906
447	734	905
448	735	902
449	737	900
450	738	898
451	739	896
452	741	895
453	742	893
454	744	891
455	745	889
456	747	887
457	748	885
458	749	883
459	751	881
460	752	879
461	753	877
462	755	875
463	756	874
464	758	872
465	759	870
466	760	868
467	762	866
468	763	864
469	764	862
470	766	860
471	767	858
472	769	857
473	770	855
474	771	853
475	773	851
476	775	849
477	776	847
478	777	845
479	779	843
480	780	842
481	781	840
482	783	838
483	784	836
484	786	834
485	787	833
486	788	831
487	790	829
488	791	827
489	793	825
490	794	823
491	795	821
492	797	819
493	798	818
494	800	816
495	801	814
496	802	812
497	804	810
498	805	809
499	807	807
500	808	805
501	810	803
502	811	801
503	813	800
504	814	798
505	815	796
506	817	794
507	818	792
508	820	791
509	821	789
510	823	787
511	824	786
512	826	784
513	827	782
514	829	780
515	830	779
516	832	777
517	833	775
518	835	773
519	837	772
520	838	771
521	840	769
522	841	767
523	843	766
524	845	764
525	846	762
526	847	761
527	849	759
528	850	757
529	852	756
530	854	754
531	855	752
532	857	750
533	858	749
534	861	748
535	862	746
536	864	745
537	865	743
538	867	741
539	868	739
540	870	738
541	871	736
542	873	735
543	875	734
544	877	732
545	878	730
546	879	728
547	881	726
548	882	724
549	883	723
550	885	721
551	886	719
552	888	718
553	889	716
554	891	714
555	892	713
556	894	711
557	895	709
558	897	707
559	898	705
560	899	704
561	901	702
562	903	700
563	904	699
564	905	697
565	907	696
566	909	694
567	910	692
568	912	690
569	913	689
570	914	687
571	916	685
572	917	683
573	919	682
574	921	680
575	922	679
576	923	677
577	925	675
578	926	673
579	927	671
580	929	670
581	930	668
582	932	666
583	933	665
584	935	663
585	936	661
586	938	660
587	940	658
588	941	657
589	943	655
590	944	653
591	945	651
592	947	650
593	948	648
594	950	646
595	951	644
596	953	643
597	954	641
598	955	639
599	956	637
600	958	636
601	959	634
602	961	632
603	962	631
604	964	629
605	965	627
606	967	626
607	968	624
608	970	622
609	971	621
610	972	619
611	974	617
612	975	615
613	976	614
614	978	612
615	979	610
616	981	608
617	982	607
618	983	605
619	985	603
620	986	602
621	987	600
622	990	599
623	992	597
624	993	596
625	995	594
626	996	593
627	998	591
628	999	589
629	1001	587
630	1002	586
631	1004	584
632	1006	583
633	1008	581
634	1009	580
635	1010	578
636	1012	576
637	1013	575
638	1015	573
639	1018	572
640	1020	571
641	1021	569
642	1022	567
643	1024	566
644	1025	564
645	1027	562
646	1028	561
647	1029	559
648	1031	558
